 &plot nbnd=  49, nks=   401 /
            0.000000  0.000000  0.000000
  -16.387  -15.492  -14.425  -13.285  -12.116  -11.064  -10.952  -10.860  -10.535  -10.095
   -9.961   -9.835   -9.786   -9.547   -9.513   -9.156   -8.902   -8.804   -8.721   -8.241
   -8.181   -7.921   -7.742   -7.416   -7.305   -7.202   -6.927   -6.766   -6.701   -6.676
   -6.099   -1.626   -0.942   -0.252   -0.179   -0.102   -0.044    0.056    0.314
            0.000000  0.000000  0.017500
  -22.970  -22.793  -22.511  -22.127  -21.644  -21.065  -20.398  -19.654  -18.858  -18.117
  -16.386  -15.491  -14.424  -13.284  -12.115  -11.063  -10.952  -10.858  -10.534  -10.093
   -9.967   -9.836   -9.792   -9.545   -9.519   -9.162   -8.901   -8.806   -8.727   -8.246
   -8.179   -7.926   -7.745   -7.414   -7.314   -7.200   -6.934   -6.768   -6.707   -6.675
   -6.098   -1.627   -0.943   -0.250   -0.177   -0.100   -0.044    0.058    0.316
            0.000000  0.000000  0.020000
  -22.968  -22.791  -22.510  -22.126  -21.642  -21.064  -20.397  -19.652  -18.856  -18.115
  -16.384  -15.490  -14.422  -13.283  -12.114  -11.061  -10.952  -10.856  -10.532  -10.092
   -9.975   -9.837   -9.800   -9.543   -9.527   -9.169   -8.899   -8.808   -8.734   -8.252
   -8.177   -7.931   -7.748   -7.412   -7.324   -7.200   -6.941   -6.770   -6.713   -6.673
   -6.096   -1.627   -0.943   -0.248   -0.175   -0.098   -0.044    0.060    0.318
            0.000000  0.000000  0.022500
  -22.967  -22.789  -22.508  -22.124  -21.640  -21.062  -20.395  -19.650  -18.855  -18.114
  -16.383  -15.488  -14.421  -13.282  -12.114  -11.058  -10.952  -10.854  -10.529  -10.089
   -9.983   -9.837   -9.808   -9.541   -9.535   -9.178   -8.897   -8.810   -8.742   -8.259
   -8.175   -7.937   -7.751   -7.410   -7.335   -7.199   -6.950   -6.773   -6.721   -6.670
   -6.094   -1.628   -0.944   -0.245   -0.173   -0.096   -0.044    0.062    0.321
            0.000000  0.000000  0.025000
