 &plot nbnd=  31, nks=   401 /
            0.000000  0.000000 -0.500000
  -12.545  -11.314  -11.128  -10.389  -10.336   -9.813   -9.786   -9.451   -8.954   -8.889
   -8.554   -8.431   -8.042   -6.889   -6.816   -5.804   -2.015   -0.872   -0.436    0.581
    0.590
            0.000000  0.000000 -0.362500
  -21.900  -20.722  -20.326  -19.227  -18.984  -17.815  -16.182  -15.082  -14.051  -12.861
  -12.541  -11.338  -11.141  -10.404  -10.321   -9.825   -9.794   -9.453   -8.943   -8.869
   -8.566   -8.417   -8.022   -6.875   -6.819   -5.795   -2.020   -0.859   -0.456    0.568
    0.576
            0.000000  0.000000 -0.360000
  -21.910  -20.732  -20.308  -19.214  -18.989  -17.806  -16.184  -15.070  -14.060  -12.880
  -12.536  -11.362  -11.154  -10.420  -10.307   -9.837   -9.801   -9.454   -8.932   -8.849
   -8.577   -8.403   -8.002   -6.867   -6.817   -5.786   -2.026   -0.845   -0.475    0.554
    0.563
            0.000000  0.000000 -0.357500
  -21.920  -20.742  -20.290  -19.203  -18.993  -17.796  -16.186  -15.057  -14.069  -12.900
  -12.529  -11.385  -11.167  -10.436  -10.292   -9.849   -9.809   -9.456   -8.921   -8.829
   -8.589   -8.390   -7.982   -6.866   -6.808   -5.778   -2.031   -0.831   -0.495    0.541
    0.550
            0.000000  0.000000 -0.355000
  -21.931  -20.752  -20.272  -19.192  -18.995  -17.787  -16.188  -15.045  -14.078  -12.922
  -12.521  -11.409  -11.179  -10.452  -10.278   -9.861   -9.816   -9.459   -8.911   -8.809
   -8.600   -8.376   -7.962   -6.870   -6.793   -5.769   -2.036   -0.818   -0.515    0.527
    0.536
            0.000000  0.000000 -0.352500
  -21.941  -20.762  -20.254  -19.183  -18.996  -17.778  -16.190  -15.033  -14.086  -12.945
  -12.511  -11.433  -11.192  -10.468  -10.264   -9.873   -9.823   -9.461   -8.900   -8.789
   -8.612   -8.363   -7.942   -6.876   -6.777   -5.761   -2.042   -0.805   -0.534    0.514
    0.523
            0.000000  0.000000 -0.350000
  -21.951  -20.772  -20.236  -19.175  -18.995  -17.770  -16.192  -15.020  -14.094  -12.969
  -12.501  -11.457  -11.204  -10.484  -10.251   -9.885   -9.830   -9.463   -8.890   -8.768
   -8.623   -8.349   -7.922   -6.883   -6.759   -5.752   -2.047   -0.791   -0.554    0.500
    0.510
            0.000000  0.000000 -0.347500
  -21.961  -20.781  -20.218  -19.169  -18.993  -17.761  -16.193  -15.008  -14.102  -12.994
  -12.490  -11.481  -11.217  -10.500  -10.238   -9.897   -9.836   -9.466   -8.880   -8.748
   -8.634   -8.335   -7.901   -6.890   -6.741   -5.744   -2.052   -0.778   -0.573    0.487
    0.497
            0.000000  0.000000 -0.345000
  -21.971  -20.791  -20.200  -19.165  -18.988  -17.753  -16.194  -14.997  -14.110  -13.019
  -12.479  -11.505  -11.229  -10.517  -10.225   -9.909   -9.842   -9.469   -8.869   -8.728
   -8.645   -8.322   -7.881   -6.898   -6.722   -5.735   -2.056   -0.766   -0.591    0.474
    0.484
            0.000000  0.000000 -0.342500
  -21.981  -20.801  -20.181  -19.163  -18.981  -17.744  -16.195  -14.985  -14.118  -13.045
  -12.467  -11.529  -11.241  -10.533  -10.213   -9.921   -9.847   -9.472   -8.860   -8.707
   -8.656   -8.308   -7.861   -6.905   -6.704   -5.727   -2.061   -0.754   -0.609    0.461
    0.471
            0.000000  0.000000 -0.340000
  -21.991  -20.811  -20.163  -19.163  -18.973  -17.736  -16.195  -14.973  -14.125  -13.071
  -12.455  -11.553  -11.253  -10.550  -10.202   -9.932   -9.852   -9.475   -8.850   -8.687
   -8.667   -8.295   -7.840   -6.913   -6.685   -5.719   -2.066   -0.743   -0.626    0.448
    0.458
            0.000000  0.000000 -0.337500
  -22.001  -20.820  -20.144  -19.164  -18.962  -17.728  -16.196  -14.962  -14.132  -13.098
  -12.443  -11.577  -11.265  -10.567  -10.191   -9.944   -9.857   -9.479   -8.840   -8.678
   -8.667   -8.281   -7.820   -6.921   -6.666   -5.711   -2.070   -0.734   -0.641    0.435
    0.446
            0.000000  0.000000 -0.335000
  -22.010  -20.830  -20.126  -19.167  -18.951  -17.720  -16.196  -14.951  -14.139  -13.125
  -12.430  -11.601  -11.276  -10.584  -10.181   -9.955   -9.861   -9.482   -8.831   -8.689
   -8.646   -8.268   -7.800   -6.929   -6.646   -5.702   -2.075   -0.730   -0.651    0.422
    0.433
            0.000000  0.000000 -0.332500
  -22.020  -20.839  -20.107  -19.170  -18.938  -17.712  -16.195  -14.940  -14.146  -13.152
  -12.418  -11.625  -11.288  -10.601  -10.172   -9.967   -9.864   -9.486   -8.822   -8.700
