 &plot nbnd=  13, nks=   401 /
  -21.135  -18.617  -14.473  -12.147  -11.066  -10.027   -9.008   -8.627   -6.459   -0.971
    0.662    0.856    1.398
            0.000000  0.000000  0.237500
  -21.115  -18.598  -14.467  -12.187  -11.085  -10.048   -8.984   -8.643   -6.435   -0.988
    0.682    0.881    1.427
            0.000000  0.000000  0.240000
  -21.094  -18.578  -14.461  -12.226  -11.106  -10.066   -8.960   -8.660   -6.410   -1.006
    0.703    0.907    1.456
            0.000000  0.000000  0.242500
  -21.073  -18.559  -14.455  -12.265  -11.129  -10.084   -8.936   -8.676   -6.386   -1.025
    0.723    0.933    1.485
            0.000000  0.000000  0.245000
  -21.052  -18.539  -14.450  -12.303  -11.153  -10.099   -8.912   -8.694   -6.361   -1.044
    0.744    0.959    1.515
            0.000000  0.000000  0.247500
  -21.031  -18.518  -14.446  -12.341  -11.179  -10.114   -8.887   -8.711   -6.336   -1.063
    0.765    0.985    1.545
            0.000000  0.000000  0.250000
  -21.010  -18.498  -14.442  -12.377  -11.206  -10.126   -8.862   -8.728   -6.310   -1.083
    0.786    1.012    1.575
            0.000000  0.000000  0.252500
  -20.988  -18.477  -14.439  -12.413  -11.235  -10.137   -8.837   -8.746   -6.285   -1.104
    0.808    1.038    1.606
            0.000000  0.000000  0.255000
  -20.967  -18.457  -14.437  -12.448  -11.265  -10.147   -8.812   -8.764   -6.259   -1.125
    0.829    1.065    1.637
            0.000000  0.000000  0.257500
  -20.945  -18.436  -14.436  -12.482  -11.297  -10.156   -8.786   -8.782   -6.233   -1.147
    0.851    1.093    1.668
            0.000000  0.000000  0.260000
  -20.923  -18.414  -14.436  -12.514  -11.329  -10.163   -8.800   -8.761   -6.207   -1.169
    0.872    1.120    1.699
            0.000000  0.000000  0.262500
  -20.900  -18.393  -14.436  -12.546  -11.363  -10.169   -8.819   -8.735   -6.180   -1.192
    0.894    1.148    1.731
            0.000000  0.000000  0.265000
  -20.878  -18.372  -14.438  -12.576  -11.398  -10.174   -8.838   -8.709   -6.153   -1.215
    0.916    1.175    1.763
            0.000000  0.000000  0.267500
  -20.855  -18.350  -14.440  -12.606  -11.435  -10.178   -8.857   -8.682   -6.126   -1.239
    0.938    1.203    1.796
            0.000000  0.000000  0.270000
  -20.832  -18.328  -14.444  -12.634  -11.472  -10.181   -8.876   -8.656   -6.099   -1.263
    0.960    1.231    1.828
            0.000000  0.000000  0.272500
  -20.809  -18.306  -14.449  -12.660  -11.509  -10.183   -8.896   -8.629   -6.072   -1.287
    0.983    1.260    1.861
            0.000000  0.000000  0.275000
  -20.785  -18.283  -14.456  -12.685  -11.548  -10.184   -8.916   -8.602   -6.044   -1.313
    1.005    1.288    1.894
            0.000000  0.000000  0.277500
  -20.762  -18.261  -14.463  -12.709  -11.587  -10.185   -8.936   -8.575   -6.017   -1.338
    1.028    1.317    1.928
            0.000000  0.000000  0.280000
  -20.738  -18.238  -14.472  -12.731  -11.627  -10.185   -8.956   -8.547   -5.988   -1.365
    1.051    1.346    1.961
            0.000000  0.000000  0.282500
  -20.714  -18.215  -14.482  -12.751  -11.668  -10.184   -8.976   -8.520   -5.960   -1.391
    1.074    1.375    1.995
            0.000000  0.000000  0.285000
  -20.690  -18.192  -14.494  -12.770  -11.709  -10.183   -8.997   -8.492   -5.932   -1.418
    1.097    1.404    1.986
            0.000000  0.000000  0.287500
  -20.665  -18.168  -14.508  -12.788  -11.751  -10.181   -9.018   -8.464   -5.903   -1.446
    1.120    1.434    1.956
            0.000000  0.000000  0.290000
  -20.641  -18.145  -14.522  -12.803  -11.793  -10.179   -9.039   -8.436   -5.874   -1.474
    1.144    1.463    1.923
            0.000000  0.000000  0.292500
  -20.616  -18.121  -14.538  -12.817  -11.835  -10.176   -9.060   -8.407   -5.845   -1.503
    1.167    1.493    1.888
            0.000000  0.000000  0.295000
  -20.591  -18.097  -14.556  -12.829  -11.878  -10.173   -9.081   -8.379   -5.816   -1.532
    1.191    1.523    1.852
            0.000000  0.000000  0.297500
  -20.566  -18.073  -14.575  -12.840  -11.922  -10.170   -9.103   -8.350   -5.786   -1.561
    1.215    1.553    1.814
            0.000000  0.000000  0.300000
  -20.540  -18.049  -14.596  -12.849  -11.965  -10.166   -9.125   -8.321   -5.757   -1.591
    1.239    1.583    1.775
            0.000000  0.000000  0.302500
  -20.515  -18.024  -14.618  -12.856  -12.009  -10.162   -9.147   -8.292   -5.727   -1.621
    1.263    1.614    1.735
            0.000000  0.000000  0.305000
  -20.489  -18.000  -14.641  -12.862  -12.053  -10.158   -9.169   -8.262   -5.697   -1.652
    1.288    1.644    1.694
            0.000000  0.000000  0.307500
  -20.463  -17.975  -14.666  -12.866  -12.097  -10.153   -9.192   -8.233   -5.666   -1.683
    1.312    1.652    1.675
            0.000000  0.000000  0.310000
  -20.437  -17.950  -14.692  -12.869  -12.142  -10.149   -9.214   -8.203   -5.636   -1.715
    1.337    1.610    1.705
            0.000000  0.000000  0.312500
  -20.410  -17.924  -14.720  -12.870  -12.186  -10.144   -9.237   -8.173   -5.605   -1.746
    1.362    1.567    1.736
            0.000000  0.000000  0.315000
  -20.384  -17.899  -14.748  -12.870  -12.231  -10.138   -9.260   -8.143   -5.574   -1.779
    1.387    1.523    1.767
            0.000000  0.000000  0.317500
  -20.357  -17.873  -14.778  -12.868  -12.276  -10.133   -9.283   -8.113   -5.543   -1.811
    1.413    1.480    1.798
            0.000000  0.000000  0.320000
  -20.330  -17.847  -14.809  -12.865  -12.321  -10.128   -9.307   -8.082   -5.512   -1.844
    1.435    1.438    1.829
            0.000000  0.000000  0.322500
  -20.303  -17.821  -14.840  -12.861  -12.366  -10.122   -9.330   -8.052   -5.481   -1.878
    1.390    1.464    1.860
            0.000000  0.000000  0.325000
